egg_id,day,HU,weight_g,R,S,T,U,V,W
60,2,85.78,60.86,0,104,66,31,18,0
61,3,83.37,61.55,0,88,59,31,17,0
62,3,84.29,60.65,0,77,55,29,15,0
63,3,83.61,60.05,0,100,67,34,18,0
64,3,84,60.5,0,96,60,34,17,0
65,3,84.53,60.65,0,73,50,24,12,0
66,3,85.05,60.69,0,81,52,27,14,0
67,3,82.21,61.12,0,94,59,27,17,0
68,3,82.55,60.19,0,90,54,26,14,0
69,3,81.99,60.67,0,91,62,31,17,0
70,3,84.68,59.71,0,104,63,33,17,0
71,3,82.71,60.56,0,92,59,28,16,0
72,3,85.67,60.35,0,81,58,33,16,0
73,3,85.25,60.46,0,95,52,29,14,0
74,3,86.34,60.09,0,85,52,31,16,0
75,3,84.82,60.31,0,80,54,28,15,0
76,3,82.62,59.59,0,85,54,30,15,0
77,3,82.21,59.32,0,77,48,25,12,0
78,3,82.54,59.66,0,97,65,30,16,0
79,3,81.65,60.22,0,80,48,27,13,0
80,3,83.42,60.29,0,95,64,32,16,0
81,3,83.72,60.97,0,73,49,24,11,0
82,3,83.14,59.68,0,88,46,30,14,0
83,3,84.53,60.63,0,109,72,39,20,0
84,3,81.56,59.72,0,104,74,33,18,0
85,3,84.42,59.91,0,94,68,35,17,0
86,3,85.19,59.36,0,108,68,36,16,0
87,3,84.23,60.47,0,106,69,34,18,0
88,3,84.6,59.28,0,102,69,36,20,0
89,3,84.67,60.08,0,108,77,39,20,0
90,3,82.82,60.77,0,96,59,34,15,0
91,4,83,59.49,0,112,64,36,18,0
92,4,85.72,60.3,0,101,71,33,17,0
93,4,84.08,60.24,0,64,49,24,12,0
94,4,83.73,59.5,0,90,58,32,17,0
95,4,81.63,60.98,0,93,60,32,14,0
96,4,81.5,60.97,0,86,54,36,16,0
97,4,83.87,59.61,0,103,68,37,20,0
98,4,81.38,60.56,0,92,58,33,16,0
99,4,81.36,59.62,0,85,52,28,13,0
100,4,83.94,59.03,0,90,54,33,16,0
101,4,82.26,59.85,0,102,59,34,16,0
102,4,82.77,60.13,0,87,57,26,14,0
103,4,83.57,60.9,0,94,55,31,16,0
104,4,83.86,60.26,0,86,52,30,15,0
105,4,84.28,60.55,0,78,56,28,17,0
106,4,82.81,60.25,0,93,58,33,15,0
107,4,81.06,59.96,0,96,60,33,16,0
108,4,81.85,61.56,0,80,62,31,15,0
109,4,83.4,60.19,0,84,55,26,15,0
110,4,81.76,60.29,0,83,61,30,16,0
111,4,83.21,59.53,0,93,59,31,18,0
112,4,85.67,59.69,0,85,57,32,18,0
113,4,81.87,60.29,0,73,47,28,12,0
114,4,84.2,60.86,0,76,48,25,13,0
115,4,82.44,60.5,0,90,56,26,15,0
116,4,81.85,60.62,0,103,65,35,19,0
117,4,83.55,60.28,0,81,55,26,15,0
118,4,79.65,60.27,0,74,50,25,14,0
119,4,80.98,61.03,0,103,64,33,16,0
120,4,83.52,61.25,0,84,62,32,19,0
121,5,77.27,60.04,0,80,51,23,16,0
122,5,79.33,60.47,0,76,62,29,17,0
123,5,80.42,59.53,0,85,51,30,16,0
124,5,79.48,59.75,0,67,44,24,15,0
125,5,77.84,59.83,0,83,55,29,15,0
126,5,80.86,60.14,0,82,58,29,15,0
127,5,80.76,59.88,0,86,53,27,16,0
128,5,80.63,60.41,0,101,55,31,19,0
129,5,81.44,59.49,0,103,63,36,17,0
130,5,78.5,59.38,0,89,57,30,17,0
131,5,79.01,60.35,0,91,57,33,16,0
132,5,82.24,61.76,0,81,54,33,16,0
133,5,81.95,60.17,0,85,58,30,16,0
134,5,79.13,60.41,0,95,57,30,16,0
135,5,81.73,60.24,0,84,61,31,16,0
136,5,78.93,59.75,0,93,58,30,16,0
137,5,80.57,59.74,0,98,57,30,15,0
138,5,79.97,60.33,0,94,69,31,16,0
139,5,80.69,60.16,0,115,69,37,19,0
140,5,82.45,60.54,0,76,48,27,14,0
141,5,81.26,60.52,0,75,48,28,16,0
142,5,79.1,59.64,0,86,55,29,15,0
143,5,80.06,59.94,0,95,63,31,16,0
144,5,80.64,59.77,0,89,58,30,14,0
145,5,79.11,59.62,0,85,53,31,15,0
146,5,80.42,60.83,0,68,47,27,14,0
147,5,80.71,60.08,0,90,57,29,17,0
148,5,78.58,61.23,0,82,53,28,16,0
149,5,81.17,60.82,0,102,60,32,16,0
150,5,81.05,59.92,0,105,67,35,19,0
151,6,82.35,59.98,0,88,57,32,16,0
152,6,79.39,60.11,0,84,53,27,14,0
153,6,78.74,59.75,0,100,62,29,17,0
154,6,81.35,59.58,0,88,51,29,14,0
155,6,78.47,58.79,0,88,59,29,15,0
156,6,80.68,60.1,0,69,40,23,12,0
157,6,79.42,59.74,0,61,43,22,13,0
158,6,78.05,60.47,0,70,41,24,11,0
159,6,80.54,59.57,0,80,57,29,14,0
160,6,82.91,59.92,0,78,53,27,15,0
161,6,76.13,59.44,0,70,45,26,12,0
162,6,79.88,59.63,0,75,54,28,15,0
163,6,79,60.58,0,83,49,26,14,0
164,6,79.73,60.8,0,96,56,31,16,0
165,6,81.15,60.43,0,69,49,24,13,0
166,6,79.81,60.26,0,81,49,30,15,0
167,6,78.93,59.86,0,84,52,24,14,0
168,6,81.15,60.95,0,95,53,30,16,0
169,6,81.21,60.23,0,79,57,30,15,0
170,6,79.12,60.9,0,97,57,28,15,0
171,6,78.18,60.9,0,79,52,26,15,0
172,6,76.21,59.75,0,92,51,29,15,0
173,6,77.77,60.1,0,85,58,28,14,0
174,6,77.55,59.6,0,93,69,29,16,0
175,6,79.4,59.61,0,79,48,28,16,0
176,6,81.15,59.87,0,96,51,32,16,0
177,6,79.21,59.16,0,76,52,30,15,0
178,6,77.71,60.6,0,89,49,30,16,0
179,6,78.79,60.17,0,80,58,29,15,0
180,6,81.76,59.43,0,72,46,25,14,0
181,7,76.17,59.09,0,87,60,30,16,0
182,7,78.52,60.25,0,103,66,33,19,0
183,7,78.42,59.93,0,83,52,29,14,0
184,7,77.65,60.07,0,88,49,29,14,0
185,7,78.42,59.71,0,75,51,24,13,0
186,7,76.83,59.77,0,85,54,28,13,0
187,7,80.45,61.12,0,72,41,23,12,0
188,7,77.23,60.67,0,81,53,31,16,0
189,7,76.18,60.93,0,77,53,32,13,0
190,7,77.6,60.38,0,53,41,23,12,0
191,7,77.5,60.23,0,84,62,28,14,0
192,7,77.63,59.59,0,93,55,32,14,0
193,7,80.52,60.07,0,69,38,21,10,0
194,7,78.94,60.51,0,80,57,27,13,0
195,7,76.3,60.97,0,91,64,32,15,0
196,7,76.98,58.68,0,65,45,22,11,0
197,7,79.76,59.69,0,87,56,28,15,0
198,7,79.97,59.96,0,90,58,30,16,0
199,7,76.72,59.64,0,70,47,22,12,0
200,7,77.07,60.47,0,101,62,36,16,0
201,7,78.14,59.65,0,83,49,27,13,0
202,7,78.28,60.14,0,86,49,28,14,0
203,7,79.78,60.61,0,72,46,24,14,0
204,7,77.77,59.91,0,91,54,25,15,0
205,7,74.74,59.37,0,91,56,28,16,0
206,7,76.44,60.58,0,77,52,26,12,0
207,7,75.43,59.62,0,94,57,30,16,0
208,7,78.37,60.2,0,83,57,29,15,0
209,7,79.21,60.36,0,104,61,34,19,0
210,7,76.05,60.3,0,92,47,27,14,0
211,8,76.51,59.52,0,78,50,26,13,0
212,8,76.57,59.46,0,70,41,22,11,0
213,8,74.23,59.94,0,92,54,29,16,0
214,8,76.48,60.57,0,78,50,23,15,0
215,8,76.13,59.09,0,77,46,24,14,0
216,8,75.27,60.3,0,82,53,30,15,0
217,8,77.31,60.11,0,93,57,32,15,0
218,8,76.5,60.89,0,75,46,25,13,0
219,8,77.44,58.84,0,76,50,26,13,0
220,8,75.67,60.16,0,78,48,26,14,0
221,8,80,60.29,0,81,55,28,15,0
222,8,77.7,60.43,0,69,43,22,11,0
223,8,73.17,59.79,0,82,46,28,14,0
224,8,76.38,60.1,0,101,61,32,16,0
225,8,72.61,60.12,0,68,45,21,9,0
226,8,74.55,59.85,0,69,52,25,13,0
227,8,74.43,60.33,0,75,55,27,13,0
228,8,78.51,60.28,0,79,47,27,14,0
229,8,75.83,60.59,0,73,50,22,12,0
230,8,76.79,59.65,0,88,51,29,14,0
231,8,75.94,59.13,0,91,55,28,15,0
232,8,73.93,60.27,0,116,70,38,20,0
233,8,77.71,60.01,0,80,51,26,13,0
234,8,75.58,60.14,0,96,60,33,15,0
235,8,75.73,60.25,0,77,56,28,14,0
236,8,76.02,60.37,0,61,42,20,12,0
237,8,76.53,60.26,0,72,44,23,12,0
238,8,77.57,59.59,0,88,56,28,15,0
239,8,76.17,59.31,0,81,51,27,14,0
240,8,75.09,58.96,0,76,58,28,16,0
241,9,73.3,59.64,0,78,55,25,14,0
242,9,72.42,60.74,0,85,54,27,13,0
243,9,73.45,60.13,0,71,48,25,14,0
244,9,76.29,59.58,0,74,49,23,13,0
245,9,72.28,60.72,0,79,49,26,13,0
246,9,74.51,59.95,0,79,51,24,14,0
247,9,71.6,59.19,0,88,57,31,15,0
248,9,75.14,61.39,0,91,60,33,16,0
249,9,73.39,59.51,0,70,47,21,13,0
250,9,74.92,59.97,0,81,53,28,14,0
251,9,73.94,59.98,0,79,50,28,14,0
252,9,73.41,60.66,0,77,46,25,13,0
253,9,75.64,60.11,0,85,55,27,14,0
254,9,73.1,59.44,0,82,49,30,11,0
255,9,73.78,60.79,0,73,44,25,12,0
256,9,75.97,58.5,0,72,44,23,12,0
257,9,74.78,60.8,0,74,47,26,13,0
258,9,77.72,59.84,0,73,44,22,12,0
259,9,71,59.89,0,79,52,25,14,0
260,9,72.68,60.33,0,73,46,24,12,0
261,9,75.1,59.32,0,77,51,26,13,0
262,9,73.41,59.27,0,68,39,21,12,0
263,9,74.15,59.05,0,90,66,31,15,0
264,9,73.52,60.06,0,75,51,28,13,0
265,9,75.63,60.14,0,91,55,29,14,0
266,9,74.42,60.66,0,59,39,21,10,0
267,9,73.26,60.66,0,86,53,28,14,0
268,9,77.05,59.57,0,82,51,26,13,0
269,9,75.16,60.6,0,68,46,25,12,0
270,9,75.84,60.09,0,92,57,32,17,0
271,10,72.33,60.71,0,82,48,26,14,0
272,10,72.79,59.21,0,68,51,23,12,0
273,10,70.33,59.35,0,72,49,25,13,0
274,10,71.92,60.36,0,80,49,27,13,0
275,10,69.18,59.76,0,68,40,24,13,0
276,10,71.94,60.44,0,72,53,24,13,0
277,10,73.73,60.12,0,92,57,30,15,0
278,10,71.54,60.18,0,72,42,24,12,0
279,10,74.02,59.71,0,69,46,24,13,0
280,10,72.28,61.68,0,68,54,23,14,0
281,10,71.47,59.57,0,79,46,24,13,0
282,10,72.36,60.16,0,78,51,28,14,0
283,10,70.37,61.18,0,72,53,26,12,0
284,10,72.92,58.98,0,52,42,20,11,0
285,10,72.55,60.05,0,78,53,29,15,0
286,10,70.71,59.5,0,90,57,31,17,0
287,10,72.55,59.41,0,66,44,24,11,0
288,10,71.31,60.42,0,60,42,20,10,0
289,10,73.01,60.52,0,74,48,26,12,0
290,10,68.69,60.32,0,68,45,23,12,0
291,10,73.18,59.74,0,67,43,23,12,0
292,10,68.93,60.06,0,65,49,24,12,0
293,10,72.67,59.37,0,73,50,26,13,0
294,10,71.79,59.9,0,70,47,21,13,0
295,10,72.63,59.07,0,65,47,23,11,0
296,10,73.17,59.78,0,70,50,23,13,0
297,10,72.97,60.14,0,68,40,24,11,0
298,10,72.88,59.92,0,70,44,24,12,0
299,10,69.95,60.67,0,72,50,25,13,0
300,10,71.46,59.33,0,79,51,28,14,0
301,11,69.87,60.27,0,54,37,19,11,0
302,11,69.35,59.68,0,66,43,23,12,0
303,11,71.31,59.81,0,70,49,22,12,0
304,11,71.08,59.94,0,71,50,24,14,0
305,11,69.05,60,0,62,36,19,10,0
306,11,68.99,59.31,0,81,49,27,13,0
307,11,71.68,59.24,0,78,47,24,13,0
308,11,68.25,59.81,0,72,45,22,12,0
309,11,72.36,59.89,0,63,46,22,12,0
310,11,70.04,60.17,0,62,40,21,12,0
311,11,70.97,60.06,0,68,53,28,15,0
312,11,71.26,60.64,0,62,39,21,10,0
313,11,73.34,60.23,0,71,44,23,13,0
314,11,69.5,59.52,0,96,50,28,16,0
315,11,71.68,59.43,0,61,42,18,11,0
316,11,69.58,60.3,0,71,46,23,13,0
317,11,70.37,59.34,0,70,44,25,13,0
318,11,66.66,59.57,0,72,43,26,12,0
319,11,69.44,59.11,0,64,40,20,9,0
320,11,69.77,58.82,0,75,45,25,14,0
321,11,72.95,60.3,0,53,36,21,9,0
322,11,70.27,59.66,0,88,59,29,15,0
323,11,70.22,59.96,0,76,48,27,13,0
324,11,69.68,59.92,0,98,56,28,16,0
325,11,69.99,60.18,0,65,45,25,12,0
326,11,68.52,59.82,0,71,55,27,16,0
327,11,70.54,60.12,0,66,44,24,12,0
328,11,70.76,58.52,0,79,53,28,14,0
329,11,72.43,58.78,0,59,38,20,11,0
330,11,68.2,59.19,0,74,46,24,11,0
331,12,66.3,59.4,0,68,43,22,11,0
332,12,66.72,59.86,0,59,40,19,11,0
333,12,69.16,59.56,0,76,42,23,12,0
334,12,68.96,59.51,0,56,38,17,9,0
335,12,69.04,59.16,0,78,52,27,12,0
336,12,70.29,59.93,0,76,53,26,13,0
337,12,69.06,59.47,0,75,44,24,11,0
338,12,70.18,60.89,0,67,46,23,12,0
339,12,68,59.94,0,58,42,23,11,0
340,12,65.93,60.8,0,60,40,20,10,0
341,12,67.99,60.19,0,69,46,21,12,0
342,12,69.67,59.06,0,61,36,19,10,0
343,12,66.93,59.52,0,54,35,16,8,0
344,12,66.02,59.14,0,63,48,22,12,0
345,12,68.72,60.36,0,64,42,23,11,0
346,12,65.32,60.25,0,65,41,22,11,0
347,12,67.02,59.4,0,80,50,28,14,0
348,12,68.12,60.35,0,81,58,29,15,0
349,12,69.41,59.65,0,74,45,22,12,0
350,12,68.38,59.48,0,81,48,27,13,0
351,12,69.19,59.44,0,71,42,26,13,0
352,12,68.38,59.78,0,76,49,26,15,0
353,12,67.45,58.72,0,64,39,23,12,0
354,12,67.5,59.39,0,70,45,23,11,0
355,12,68.99,60.07,0,83,55,27,13,0
356,12,67,59.54,0,58,40,19,11,0
357,12,65.53,60.5,0,72,47,25,12,0
358,12,68.14,59.27,0,75,48,25,15,0
359,12,67.19,59.7,0,83,52,24,14,0
360,12,69.3,59.21,0,72,46,22,11,0
361,13,65.84,59.45,0,76,52,25,14,0
362,13,65.24,59.88,0,93,51,29,15,0
363,13,66.06,60.44,0,74,46,25,11,0
364,13,64.36,59.33,0,62,43,22,12,0
365,13,67.61,60.18,0,70,39,22,13,0
366,13,65.71,59.86,0,74,42,24,12,0
367,13,66.05,59.85,0,81,54,27,14,0
368,13,66.06,59.56,0,71,51,23,12,0
369,13,64.51,58.8,0,63,41,19,10,0
370,13,66.51,59.82,0,71,50,24,14,0
371,13,67.84,59.55,0,59,39,19,11,0
372,13,66.94,59.1,0,72,55,23,13,0
373,13,64.26,59.68,0,73,46,26,14,0
374,13,67.28,59.61,0,62,42,21,10,0
375,13,66.88,59.11,0,58,38,22,11,0
376,13,65.12,59.3,0,64,43,23,11,0
377,13,64.97,59.29,0,63,44,23,12,0
378,13,65.93,59.47,0,64,45,24,11,0
379,13,66.18,59.67,0,63,37,18,10,0
380,13,67.34,59.03,0,71,40,22,11,0
381,13,66.84,59.97,0,65,42,20,12,0
382,13,66.77,60.17,0,69,42,21,11,0
383,13,65.02,59.39,0,54,37,20,10,0
384,13,66.9,59.51,0,81,47,26,14,0
385,13,65.54,60.49,0,71,52,24,12,0
386,13,62.5,60.06,0,68,51,27,14,0
387,13,63.89,60.07,0,73,46,27,14,0
388,13,66.26,58.62,0,67,41,23,11,0
389,13,67.23,59.39,0,69,41,24,12,0
390,13,65.27,59.15,0,58,39,18,10,0
391,14,63.94,59.3,0,55,32,19,9,0
392,14,60.5,59.84,0,82,56,28,14,0
393,14,64.77,58.69,0,55,43,20,11,0
394,14,66.09,60.05,0,75,42,23,13,0
395,14,66.11,59.15,0,68,48,21,11,0
396,14,66.81,59.57,0,66,48,22,12,0
397,14,62.35,58.98,0,66,47,23,12,0
398,14,67.68,59.74,0,56,41,20,10,0
399,14,67.15,59.89,0,68,44,23,9,0
400,14,65.85,61.02,0,64,38,19,10,0
401,14,63.68,59.48,0,68,45,22,12,0
402,14,63.32,59.48,0,76,48,24,11,0
403,14,65.15,60.74,0,67,45,21,12,0
404,14,64.43,59.6,0,78,44,26,12,0
405,14,64.2,59.95,0,77,48,28,13,0
406,14,66.41,60.53,0,60,38,19,11,0
407,14,62.74,59.11,0,65,40,21,10,0
408,14,64.84,59.97,0,65,40,21,9,0
409,14,63.64,59.87,0,67,44,20,11,0
410,14,63.38,59.59,0,67,42,22,11,0
411,14,63.45,60.46,0,66,40,21,11,0
412,14,63.15,58.82,0,73,48,20,12,0
413,14,65.08,58.73,0,54,33,19,9,0
414,14,65.36,58.9,0,72,45,25,11,0
415,14,65.26,59.19,0,65,47,24,12,0
416,14,63.94,58.97,0,81,49,26,13,0
417,14,65.2,60.54,0,64,41,23,12,0
418,14,63.25,60.76,0,57,34,19,10,0
419,14,62.69,59.45,0,65,42,20,10,0
420,14,64.74,59.49,0,80,52,28,13,0
421,15,61.93,60.67,0,69,46,25,12,0
422,15,60.59,59.97,0,63,44,23,11,0
423,15,61.62,58.44,0,69,43,26,11,0
424,15,63.78,59.73,0,65,39,20,11,0
425,15,60.94,60.51,0,62,36,22,10,0
426,15,60.61,59.7,0,63,38,22,11,0
427,15,63.22,59.16,0,65,41,23,11,0
428,15,62.34,59.23,0,74,45,25,13,0
429,15,63.49,59.58,0,59,39,20,10,0
430,15,60.79,59,0,59,42,19,9,0
431,15,63.81,59.26,0,65,39,22,11,0
432,15,63.06,60.19,0,56,47,21,12,0
433,15,63.23,60.98,0,63,41,21,12,0
434,15,61.01,58.54,0,54,34,17,10,0
435,15,64.14,58.77,0,58,40,18,10,0
436,15,62.63,59.29,0,64,42,22,10,0
437,15,62.99,58.82,0,68,44,25,12,0
438,15,63,59.12,0,76,51,24,14,0
439,15,61.82,59.38,0,81,53,25,13,0
440,15,62.92,59.54,0,65,44,20,11,0
441,15,62.49,60.62,0,58,42,20,10,0
442,15,62.18,58.95,0,60,37,19,10,0
443,15,62.45,59.92,0,50,28,14,8,0
444,15,62.24,60.42,0,70,45,22,11,0
445,15,64.61,59.57,0,62,36,20,11,0
446,15,62.14,59.99,0,65,44,21,10,0
447,15,62.44,58.41,0,70,47,23,12,0
448,15,61.95,58.97,0,63,41,22,12,0
449,15,63.77,59.26,0,62,42,19,10,0
450,15,62.78,60.16,0,69,46,24,11,0
451,16,63.04,58.71,0,70,41,24,12,0
452,16,63.19,57.95,0,55,34,19,9,0
453,16,58.74,59.76,0,63,37,19,11,0
454,16,60.9,59.83,0,46,33,17,9,0
455,16,61.05,59.72,0,75,49,27,13,0
456,16,61.94,58.77,0,59,37,20,11,0
457,16,62.44,59.18,0,69,37,21,10,0
458,16,60.53,59.26,0,53,36,18,9,0
459,16,61.03,59.08,0,65,38,21,8,0
460,16,63.56,60.85,0,45,30,14,8,0
461,16,63.59,59.15,0,67,36,20,9,0
462,16,62.94,60.51,0,63,36,19,11,0
463,16,59.28,60.4,0,55,38,18,9,0
464,16,60.43,59.65,0,53,29,14,8,0
465,16,62.19,59.45,0,62,40,19,11,0
466,16,61.68,59.69,0,59,38,20,10,0
467,16,63.26,60.36,0,73,41,22,10,0
468,16,61.04,59.36,0,54,38,18,10,0
469,16,58.71,59.15,0,52,32,17,9,0
470,16,62.98,59.25,0,77,48,25,13,0
471,16,61.32,59.53,0,57,35,20,10,0
472,16,60.48,58.75,0,57,39,19,10,0
473,16,61.97,59.48,0,52,42,20,10,0
474,16,61.01,58.95,0,72,50,23,12,0
475,16,59.12,60.11,0,61,41,20,10,0
476,16,62.03,59.3,0,56,34,17,9,0
477,16,60.51,58.85,0,60,36,19,9,0
478,16,61.82,59.18,0,63,41,20,11,0
479,16,59.25,59.38,0,60,37,18,9,0
480,16,59.92,58.4,0,62,39,20,11,0
481,17,59.23,59.42,0,58,41,20,10,0
482,17,62.62,60.04,0,61,35,21,9,0
483,17,58.92,58.77,0,56,32,18,9,0
484,17,59.1,58.87,0,71,45,22,12,0
485,17,58.71,59.23,0,63,35,19,9,0
486,17,59.55,60.27,0,70,47,22,11,0
487,17,60.93,58.73,0,68,39,21,11,0
488,17,60.18,60.53,0,64,42,21,11,0
489,17,60.72,58.26,0,63,38,17,10,0
490,17,61.1,60.02,0,59,37,19,9,0
491,17,59.93,60.13,0,54,31,18,9,0
492,17,60.26,59.75,0,55,35,17,8,0
493,17,57.36,59.64,0,58,37,20,10,0
494,17,58.5,59.14,0,84,54,26,14,0
495,17,58.92,59.78,0,71,44,21,11,0
496,17,59.53,59.87,0,71,41,20,11,0
497,17,60.3,59.49,0,60,39,20,10,0
498,17,60.82,58.91,0,56,37,19,9,0
499,17,61.18,59.87,0,53,35,17,9,0
500,17,60.35,59.41,0,64,42,22,11,0
501,17,60,60.09,0,69,43,20,12,0
502,17,60.68,59.17,0,47,38,19,9,0
503,17,58.95,59.75,0,61,44,21,10,0
504,17,58.73,60.64,0,56,44,19,9,0
505,17,58.39,59.34,0,62,40,20,10,0
506,17,59.44,59.2,0,63,39,22,10,0
507,17,57.92,59.35,0,51,36,19,9,0
508,17,59.58,60.82,0,63,35,18,10,0
509,17,60.22,58.42,0,71,43,22,11,0
510,17,57.75,59.82,0,50,35,20,10,0
511,18,56.95,59.27,0,51,35,18,10,0
512,18,58.24,58.61,0,62,32,20,10,0
513,18,56.22,58.88,0,73,49,23,13,0
514,18,57.73,58.97,0,57,37,17,9,0
515,18,57.14,60.13,0,59,43,23,11,0
516,18,57.87,59.98,0,60,36,18,10,0
517,18,57.23,59.36,0,58,35,19,10,0
518,18,58.45,59.04,0,52,31,19,9,0
519,18,58.41,59.64,0,60,38,20,10,0
520,18,55.85,59.9,0,45,28,14,7,0
521,18,58.36,59.47,0,64,38,21,11,0
522,18,57.45,59.62,0,60,43,21,10,0
523,18,56.83,59.17,0,62,36,19,10,0
524,18,58.9,59.47,0,59,35,18,9,0
525,18,59.52,59.69,0,45,27,14,7,0
526,18,58.8,58.4,0,62,46,22,11,0
527,18,57.98,58.79,0,52,36,19,9,0
528,18,57.9,59.16,0,63,44,23,11,0
529,18,57,59.39,0,60,35,19,10,0
530,18,57.51,59.52,0,54,39,20,8,0
531,18,57.98,59.35,0,61,40,21,10,0
532,18,57.84,59,0,69,40,17,10,0
533,18,58.64,59.32,0,49,31,16,7,0
534,18,59.14,59.05,0,64,36,21,12,0
535,18,56.91,59.07,0,62,44,21,10,0
536,18,55.52,59.21,0,71,43,21,12,0
537,18,57.48,59.37,0,55,34,21,10,0
538,18,58.22,58.27,0,61,36,19,9,0
539,18,57.95,59.69,0,54,32,16,9,0
540,18,58.42,59.53,0,54,36,18,9,0
541,19,56.01,59.97,0,52,35,17,8,0
542,19,57.53,58.63,0,61,36,18,10,0
543,19,58.17,59.33,0,60,42,22,12,0
544,19,57.16,59.98,0,51,32,16,9,0
545,19,56.97,58.5,0,68,38,20,10,0
546,19,55.25,58.76,0,55,37,19,9,0
547,19,57.35,59.1,0,59,39,18,10,0
548,19,57.25,59.32,0,60,32,17,9,0
549,19,55.87,58.91,0,58,40,20,9,0
550,19,56.64,59.64,0,67,44,23,10,0
551,19,54.53,59.82,0,52,35,17,9,0
552,19,54.77,59.65,0,53,37,18,9,0
553,19,56.26,58.12,0,52,31,15,8,0
554,19,57.29,60.19,0,59,34,18,9,0
555,19,56.42,59.27,0,63,34,20,9,0
556,19,57.98,59.99,0,64,39,20,10,0
557,19,57.21,59.95,0,80,47,26,13,0
558,19,56.86,59.62,0,58,38,18,10,0
559,19,56.94,57.73,0,53,33,16,8,0
560,19,58.16,59.1,0,53,34,17,9,0
561,19,56.74,60.5,0,54,32,18,8,0
562,19,57.24,59.57,0,58,32,17,9,0
563,19,56.31,58.66,0,68,36,21,10,0
564,19,55.94,59.62,0,52,31,18,9,0
565,19,55.67,58.87,0,61,39,20,10,0
566,19,54.96,59.26,0,59,36,19,9,0
567,19,56.54,59.21,0,56,36,16,9,0
568,19,56.11,59.27,0,60,42,18,10,0
569,19,58.61,58.73,0,67,38,19,9,0
570,19,56.94,58.39,0,59,38,21,10,0
571,20,53.32,59.48,0,51,31,17,8,0
572,20,54.13,59.32,0,59,37,19,10,0
573,20,55.52,60.07,0,53,36,18,10,0
574,20,55.75,58.85,0,58,36,18,9,0
575,20,55.63,59.51,0,70,44,23,11,0
576,20,55.94,59.72,0,52,35,16,8,0
577,20,54.43,59.87,0,49,31,16,8,0
578,20,53.95,58.93,0,64,39,21,10,0
579,20,53.99,59.74,0,54,31,16,9,0
580,20,53.41,58.94,0,47,27,14,7,0
581,20,57.23,58.06,0,63,44,21,10,0
582,20,53.73,59.51,0,53,30,17,8,0
